feature,importance_mean,importance_std,importance_median
f16,0.06495030836218336,0.001843294106128378,0.06476780829447282
f01,0.025136178029572763,0.0016873356908372978,0.025253875039630558
f08,0.015665412294020242,0.0010924657961925955,0.015862410402902094
f07,0.013314777964889191,0.0015363161374025293,0.013619396148619234
f18,0.01293316880977452,0.0009273529474147063,0.013299961285450579
f23,0.011651406548972265,0.0017842857901143353,0.011445486568600338
f30,0.010951676913542218,0.0015812000218073609,0.010594921543292557
f12,0.010258957319997264,0.0011817594071400826,0.010207377750445668
f19,0.00998540636734846,0.0015837809311036134,0.009895510546130026
f15,0.0087857731199944,0.0013056251983857943,0.008854758304908172
f05,0.007561246257991827,0.0007653554517978482,0.007494770349434632
f29,0.007391929848598955,0.001129573849247988,0.007711444371334586
f04,0.0059566237726452085,0.0013216145121470906,0.005927468371168976
f13,0.005902295948036418,0.0011189660694072567,0.005814351786206484
f34,0.00544652373616108,0.0007886451057212886,0.005319267578078268
f02,0.004326430566331696,0.0015558480374564577,0.004720227635178209
f33,0.004086575610471055,0.0009038959232835868,0.004321332354051632
f11,0.004076100377426961,0.0009649317550207545,0.0039007298409516333
f09,0.002907653850504499,0.0005824881564715944,0.0030318431152627223
x_int_1,0.002818235986687312,0.0006068591872492103,0.00274526782342982
f22,0.0024577366167944812,0.0009504182089270556,0.002835083985081366
f14,0.002457736616794459,0.0010853444417657527,0.0021868542596359952
f35,0.0006830807859531274,0.0005687787906902573,0.0008392135370280385
f27,0.0006779427438897145,0.00047366533839857166,0.0006802927011125282
f25,0.0005813555190537611,0.00018850794820704573,0.0005777310087609622
x_int_2,0.0002464666999112408,0.0005294611869314042,0.0003130620978187282
f28,0.00010120747971469335,0.00014205363038425557,0.00015175147489693286
f10,5.7275228583131274e-05,0.00019801154011435905,2.1308934139041558e-05
f03,1.2665871133110685e-05,0.00017907089695132076,2.708425273750814e-05
f06,-4.6162719004083644e-05,0.0003157551117854865,-9.399828891254458e-05
f31,-6.958263166534362e-05,0.00033270855675765753,3.027063541244379e-05
f17,-0.00018102636572344676,0.00019784390016571433,-0.00022444082967038037
f20,-0.00021065972460094785,0.00021026009885140008,-0.0002284238080141332
f32,-0.00031314175738570425,0.00040937332758994143,-0.00041920847067972167
f26,-0.00040682140803061095,0.00027318024039598587,-0.0003556799660968668
f21,-0.0005001824204081351,0.00021597666923383065,-0.0005108169725859812
f24,-0.0005874096461362833,0.00021301531213758327,-0.0006129803671032219
