feature,importance
CPA,27.18058120368845
conversion_rate,21.432490218029137
income_bracket_encoded,10.605224808360246
industry_vertical_encoded,9.498825823941898
conversions,7.012756075159141
CPC,6.745717010977297
actual_cpc,5.293635237314395
pages_per_session,1.175604865689481
bounce_rate,1.1118629411413463
platform_encoded,0.9657968742868227
campaign_day,0.8562578941428761
avg_session_duration_seconds,0.8091684702959047
week_of_year,0.7908401774217172
CTR,0.7621239009691486
purchase_intent_score_encoded,0.5360832369444823
ad_spend,0.5302870795623457
creative_age_days,0.5027147436245941
hour_of_day,0.4722540537262275
campaign_objective_encoded,0.356490188560221
device_type_encoded,0.34503387741312896
quality_score,0.3184672441934554
clicks,0.3158727759080112
month,0.2678730527633906
has_call_to_action_encoded,0.18604642416050218
impressions,0.1854975482871257
retargeting_flag_encoded,0.1828506535430799
ad_placement_encoded,0.17570359561767473
day_of_week_encoded,0.17124491078480653
target_audience_gender_encoded,0.16213958671166354
year,0.1370380011299445
budget_tier_encoded,0.129143327817074
ad_copy_length_encoded,0.12804595433437985
quarter,0.12324195261573063
creative_emotion_encoded,0.11617871339535474
creative_size_encoded,0.10647242567756462
operating_system_encoded,0.08574832628402726
target_audience_age_encoded,0.07597908970985492
creative_format_encoded,0.07231992984903635
is_weekend,0.04248963868181367
audience_interest_category_encoded,0.03389816728644272
